CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
ARB,EN.BIR.THRD.NO,,,,,,,,,,,,,297.0
ARB,EN.MAM.THRD.NO,,,,,,,,,,,,,237.0
ARB,ER.MRN.PTMR.ZS,,,,2.65132202421781,4.32485437636032,,,,,,5.48867281153698,,
ARB,EN.HPT.THRD.NO,,,,,,,,,,,,,340.0
ARB,ER.LND.PTLD.ZS,,,,2.73341797977908,7.02226952926196,,,,,,9.46075997501869,,
CSS,EN.BIR.THRD.NO,,,,,,,,,,,,,66.0
CSS,EN.MAM.THRD.NO,,,,,,,,,,,,,61.0
CSS,ER.MRN.PTMR.ZS,,,,8.66156923147659,9.50296098760891,,,,,,9.64075495988414,,
CSS,EN.HPT.THRD.NO,,,,,,,,,,,,,347.0
CSS,ER.LND.PTLD.ZS,,,,3.73145382652475,9.46737212349709,,,,,,13.0743037770983,,
CEB,EN.BIR.THRD.NO,,,,,,,,,,,,,130.0
CEB,EN.MAM.THRD.NO,,,,,,,,,,,,,50.0
CEB,ER.MRN.PTMR.ZS,,,,0.799817428687487,8.71313262237433,,,,,,32.9527528679471,,
CEB,EN.HPT.THRD.NO,,,,,,,,,,,,,64.0
CEB,ER.LND.PTLD.ZS,,,,6.93024872697923,11.8321355997318,,,,,,27.7897204087513,,
EAR,EN.BIR.THRD.NO,,,,,,,,,,,,,1640.0
EAR,EN.MAM.THRD.NO,,,,,,,,,,,,,1381.0
EAR,ER.MRN.PTMR.ZS,,,,1.83705021542249,3.83310857547719,,,,,,6.5938606361968,,
EAR,EN.HPT.THRD.NO,,,,,,,,,,,,,5839.0
EAR,ER.LND.PTLD.ZS,,,,7.0761997972769,11.0946224403768,,,,,,14.1509860346222,,
EAS,EN.BIR.THRD.NO,,,,,,,,,,,,,1097.0
EAS,EN.MAM.THRD.NO,,,,,,,,,,,,,918.0
EAS,ER.MRN.PTMR.ZS,,,,8.75401494132442,10.2325740429189,,,,,,16.9728313460066,,
EAS,EN.HPT.THRD.NO,,,,,,,,,,,,,3515.0
EAS,ER.LND.PTLD.ZS,,,,10.0109610554867,12.7052907896701,,,,,,15.568773732384,,
EAP,EN.BIR.THRD.NO,,,,,,,,,,,,,736.0
EAP,EN.MAM.THRD.NO,,,,,,,,,,,,,729.0
EAP,ER.MRN.PTMR.ZS,,,,0.465175197484394,1.01832936866498,,,,,,2.36641445435425,,
EAP,EN.HPT.THRD.NO,,,,,,,,,,,,,2726.0
